Source 기업명,Source 모기업명,Source_산업,Target 기업명,Target_모기업,Target_산업,Year,relation_type,dependency_direction,risk_language_score,investment_mentioned,contract_scale_score,no_alternative_mentioned,spillover_type,source_section,source_raw_name,source_canonical_name,source_canonical_firm_id,source_entity_level,source_entity_type,source_parent_canonical_name,source_parent_firm_id,source_mapping_found,target_raw_name,target_canonical_name,target_canonical_firm_id,target_entity_level,target_entity_type,target_parent_canonical_name,target_parent_firm_id,target_mapping_found,source_parent_hint_raw_name,source_parent_hint_canonical_name,source_parent_hint_canonical_firm_id,source_parent_hint_entity_level,source_parent_hint_entity_type,source_parent_hint_parent_canonical_name,source_parent_hint_parent_firm_id,source_parent_hint_mapping_found,target_parent_hint_raw_name,target_parent_hint_canonical_name,target_parent_hint_canonical_firm_id,target_parent_hint_entity_level,target_parent_hint_entity_type,target_parent_hint_parent_canonical_name,target_parent_hint_parent_firm_id,target_parent_hint_mapping_found,risk_source_id,risk_source_name,risk_target_id,risk_target_name,risk_direction_rule,risk_edge_valid,is_reciprocal_expansion,risk_language_score_norm,contract_scale_score_norm,no_alternative_flag,investment_flag,edge_weight_v1
Alibaba Group,Alibaba,E-commerce / Cloud,Ant Group / Alipay,Alibaba,FinTech / Payments,2025,software_vendor,upstream,0.7,Y,0.5,Y,governance,Item1A,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Ant Group / Alipay,Ant Group / Alipay,FIRM_0016,affiliate,fintech,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0016,Ant Group / Alipay,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.7,0.1666666666666666,1,1,0.5766666666666667
Alibaba Group,Alibaba,E-commerce / Cloud,Lazada,Alibaba,E-commerce,2025,subsidiary,downstream,0.3,Y,0.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Lazada,Lazada,FIRM_0081,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0081,Lazada,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
Alibaba Group,Alibaba,E-commerce / Cloud,Cainiao,Alibaba,Logistics,2025,subsidiary,downstream,0.3,Y,0.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Cainiao,Cainiao,FIRM_0029,subsidiary,logistics,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0029,Cainiao,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
Alibaba Group,Alibaba,E-commerce / Cloud,Sun Art,Alibaba,Retail,2025,investment_target,mutual,0.7,Y,1.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Sun Art,Sun Art Retail,FIRM_0159,subsidiary,retail,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0159,Sun Art Retail,mutual_source_to_target,True,True,0.7,0.3333333333333333,0,1,0.4433333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Sun Art,Alibaba,Retail,2025,investment_target,mutual,0.7,Y,1.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Sun Art,Sun Art Retail,FIRM_0159,subsidiary,retail,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0159,Sun Art Retail,FIRM_0004,Alibaba,mutual_target_to_source,True,True,0.7,0.3333333333333333,0,1,0.4433333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Intime,Alibaba,Retail,2025,investment_target,mutual,0.7,Y,1.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Intime,Intime,FIRM_0073,subsidiary,retail,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0073,Intime,mutual_source_to_target,True,True,0.7,0.3333333333333333,0,1,0.4433333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Intime,Alibaba,Retail,2025,investment_target,mutual,0.7,Y,1.0,N,operational,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Intime,Intime,FIRM_0073,subsidiary,retail,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0073,Intime,FIRM_0004,Alibaba,mutual_target_to_source,True,True,0.7,0.3333333333333333,0,1,0.4433333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Moonshot AI,Moonshot AI,AI / ML,2025,investment_target,upstream,0.3,Y,1.0,N,none,Item8,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Moonshot AI,Moonshot AI,FIRM_0101,company,ai_lab,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Moonshot AI,Moonshot AI,FIRM_0101,company,ai_lab,,,True,FIRM_0101,Moonshot AI,FIRM_0004,Alibaba,target_is_upstream_of_source,True,False,0.3,0.3333333333333333,0,1,0.3233333333333333
Alibaba Group,Alibaba,E-commerce / Cloud,Trendyol,Alibaba,E-commerce,2025,subsidiary,downstream,0.3,Y,0.0,N,performance,Item7,Alibaba Group,Alibaba,FIRM_0004,parent,company,,,True,Trendyol,Trendyol,FIRM_0166,subsidiary,ecommerce,Alibaba,FIRM_0004,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,Alibaba,Alibaba,FIRM_0004,parent,company,,,True,FIRM_0004,Alibaba,FIRM_0166,Trendyol,source_is_upstream_of_target,True,False,0.3,0.0,0,1,0.19
Alphabet Inc.,Google,Internet / Cloud / AI,Waymo,Google,Autonomous Vehicles,2025,subsidiary,downstream,0.5,Y,1.0,N,operational,Item7,Alphabet Inc.,Alphabet,FIRM_0006,parent,holding_company,,,True,Waymo,Waymo,FIRM_0170,subsidiary,autonomous_vehicle,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,Google,Google,FIRM_0061,subsidiary,technology_company,Alphabet,FIRM_0006,True,FIRM_0006,Alphabet,FIRM_0170,Waymo,source_is_upstream_of_target,True,False,0.5,0.3333333333333333,0,1,0.3833333333333333
